Concept ID,German Term,English Term
Bildelement,Frau,woman
Bildelement,Stuhllehne,back of a chair
Bildelement,Mühlsteinkragen,cartwheel ruff
Bildelement,Halskette,necklace
Bildelement,Goldschmuck,gold jewellery
Bildelement,Goldkette,gold chain
Bildelement,Perle,pearl
Bildelement,Haube (Kopfbedeckung),bonnet
Bildelement,Ring (Schmuck),ring
Bildelement,Armband,bracelet
Bildelement,Schmuck,jewellery
Bildelement,Edelstein,gem
Bildelement,Spitzenmanschette,lace cuff
Bildelement,Kleid,dress
Bildelement,Straußenfeder,ostrich feather
